Urls site Jecompare.immo;Residence;Urls site Leemo;Ville;Promoteur;Loi;Date du scrap
http://www.jecompare.immo/Residence-Inspirations---Ilot-D-Pinel--.php;Inspirations - Ilot D;programme.php?l=Pinel&d=44&x=18343;;Cogedim;Pinel;01/16/2017 15:00:11
http://www.jecompare.immo/Residence-LES-VILLAS-DE-CORNEBARRIEU---ALLOTEMENT-Pinel-31700-Cornebarrieu.php;LES VILLAS DE CORNEBARRIEU - ALLOTEMENT;programme.php?l=Pinel&d=31&x=10903;Cornebarrieu;Procivis;Pinel;01/16/2017 15:01:10
http://www.jecompare.immo/Residence-DOMAINE-PARISIS-Pinel-95240-Cormeilles-en-Parisis.php;DOMAINE PARISIS;programme.php?l=Pinel&d=95&x=16868;Cormeilles-en-Parisis;Pitch Promotion;Pinel;01/16/2017 15:02:29
http://www.jecompare.immo/Residence-Le-1900-Pinel-59000-Lille.php;Le 1900;programme.php?l=Pinel&d=59&x=17471;Lille;Tagerim;Pinel;01/16/2017 15:03:47
http://www.jecompare.immo/Residence-Néo-Pinel-Relais-Mairie.php;Néo;programme.php?l=Pinel&d=49&x=19518;Mairie;Bouygues;Pinel;01/16/2017 15:05:10
http://www.jecompare.immo/Residence-Passage-Saint-Clément-Pinel-93200-Saint-Denis.php;Passage Saint-Clément;programme.php?l=Pinel&d=93&x=18541;Saint-Denis;Catella Residential;Pinel;01/16/2017 15:06:15
http://www.jecompare.immo/Residence-36,-rue-Chirat-Programme-neuf--.php;36, rue Chirat;programme.php?l=Droit commun&d=69&x=18499;;Les Nouveaux Constructeurs;Programme neuf;01/16/2017 15:06:50
http://www.jecompare.immo/Residence-DIMENSION-Pinel-75017-Paris.php;DIMENSION;programme.php?l=Pinel&d=75&x=14898;Paris;Nexity;Pinel;01/16/2017 15:07:58
http://www.jecompare.immo/Residence-LES-JARDINS-D'AMELIE-Pinel-92350-Le-Plessis-Robinson.php;LES JARDINS D'AMELIE;programme.php?l=Pinel&d=92&x=15625;Le Plessis-Robinson;Groupe Capelli;Pinel;01/17/2017 13:43:33
http://www.jecompare.immo/Residence-Urban-Cottage-140-Pinel-33140-Villenave-d'Ornon.php;Urban Cottage 140;programme.php?l=Pinel&d=33&x=17903;Villenave-d'Ornon;Crédit Foncier Immobilier;Pinel;01/17/2017 13:44:24
http://www.jecompare.immo/Residence-RESIDENCE-LYLOA-Pinel-83140-Six-Fours-les-Plages.php;RESIDENCE LYLOA;programme.php?l=Pinel&d=83&x=17774;Six-Fours-les-Plages;Bouygues;Pinel;01/17/2017 13:45:16
http://www.jecompare.immo/Residence-Le-Domaine-des-Fleurs-Pinel-17139-Dompierre-sur-Mer.php;Le Domaine des Fleurs;programme.php?l=Pinel&d=17&x=19035;Dompierre-sur-Mer;European Homes;Pinel;01/17/2017 13:46:10
http://www.jecompare.immo/Residence-Côté-Vercors-Pinel--.php;Côté Vercors;programme.php?l=Pinel&d=26&x=14748;;Les Nouveaux Constructeurs;Pinel;01/17/2017 13:46:41
http://www.jecompare.immo/Residence-DOLCE-AZZURA-Pinel-06160-Antibes.php;DOLCE AZZURA;programme.php?l=Pinel&d=06&x=17171;Antibes;Pitch Promotion;Pinel;01/17/2017 13:47:44
http://www.jecompare.immo/Residence-EVASIO-Pinel--.php;EVASIO;programme.php?l=Pinel&d=59&x=15419;;Nexity;Pinel;01/17/2017 13:48:15
http://www.jecompare.immo/Residence-LUMINESENS-Pinel-62300-Lens.php;LUMINESENS;programme.php?l=Pinel&d=62&x=18529;Lens;Fiducim;Pinel;01/17/2017 13:49:10
http://www.jecompare.immo/Residence-Résidence-TERRA-ROSSA-Pinel-76230-Bois-Guillaume.php;Résidence TERRA ROSSA;programme.php?l=Pinel&d=76&x=14567;Bois-Guillaume;Fonta;Pinel;01/17/2017 13:50:01
http://www.jecompare.immo/Residence-Clos-Pastel-Pinel-31100-Toulouse.php;Clos Pastel;programme.php?l=Pinel&d=31&x=19324;Toulouse;Tagerim;Pinel;01/17/2017 13:51:13
http://www.jecompare.immo/Residence-Hestia-Pinel-31200-Toulouse.php;Hestia;programme.php?l=Pinel&d=31&x=14709;Toulouse;Serge Mas Promotion;Pinel;01/17/2017 13:52:02
http://www.jecompare.immo/Residence-NEOVIA-Pinel-91290-Arpajon.php;NEOVIA;programme.php?l=Pinel&d=91&x=16751;Arpajon;Nexity;Pinel;01/17/2017 13:52:56
http://www.jecompare.immo/Residence-BAGATELLE-Pinel-44800-Saint-Herblain.php;BAGATELLE;programme.php?l=Pinel&d=44&x=19552;Saint-Herblain;La Référence Pierre;Pinel;01/17/2017 13:53:48
http://www.jecompare.immo/Residence-CRISTAL-Pinel-13600-La-Ciotat.php;CRISTAL;programme.php?l=Pinel&d=13&x=15527;La Ciotat;Ogic;Pinel;01/17/2017 13:54:40
http://www.jecompare.immo/Residence-Résidence-La-Movida-Pinel-34970-Lattes.php;Résidence La Movida;programme.php?l=Pinel&d=34&x=17022;Lattes;Helenis;Pinel;01/17/2017 13:55:32
http://www.jecompare.immo/Residence-Sakura-Garden-Pinel-34170-Castelnau-le-Lez.php;Sakura Garden;programme.php?l=Pinel&d=34&x=17027;Castelnau-le-Lez;Helenis;Pinel;01/17/2017 13:56:25
http://www.jecompare.immo/Residence-PLUME-Pinel-1-Boulevard-du-Zénith.php;PLUME;programme.php?l=Pinel&d=44&x=19153;Boulevard du Zénith;Groupe Gambetta;Pinel;01/17/2017 13:57:22
http://www.jecompare.immo/Residence-DOMAINE-CASTELIA-Pinel-31780-Castelginest.php;DOMAINE CASTELIA;programme.php?l=Pinel&d=31&x=16888;Castelginest;Green City;Pinel;01/17/2017 13:58:18
http://www.jecompare.immo/Residence-LE-CARRE-DES-BOIS-Pinel-35700-Rennes.php;LE CARRE DES BOIS;programme.php?l=Pinel&d=35&x=14897;Rennes;Nexity;Pinel;01/17/2017 13:59:15
http://www.jecompare.immo/Residence-LE-SKATING-Pinel-33140-Villenave-d'Ornon.php;LE SKATING;programme.php?l=Pinel&d=33&x=15814;Villenave-d'Ornon;Edouard Denis;Pinel;01/17/2017 14:00:11
http://www.jecompare.immo/Residence-In'Side-Pinel--.php;In'Side;programme.php?l=Pinel&d=59&x=19412;;Crédit Foncier Immobilier;Pinel;01/17/2017 14:01:04
http://www.jecompare.immo/Residence-LE-PARC-DU-MOULIN---Allotement-Pinel-33290-Parempuyre.php;LE PARC DU MOULIN - Allotement;programme.php?l=Pinel&d=33&x=18974;Parempuyre;Severini;Pinel;01/17/2017 14:01:55
http://www.jecompare.immo/Residence-Le-quai-des-canotiers-Pinel--.php;Le quai des canotiers;programme.php?l=Pinel&d=59&x=16285;;Nacarat;Pinel;01/17/2017 14:02:37
http://www.jecompare.immo/Residence-PIXEL---Nantes-Pinel--.php;PIXEL - Nantes;programme.php?l=Pinel&d=44&x=18988;;Realites;Pinel;01/17/2017 14:03:33
